Taulun nimi
0
Hallinnollisen alueen raja
Hallinnollisen alueen tunnus
Maastopiste
Maastoviiva
Raja- tai runkopiste
Maastoteksti
Rakennusviiva
Rekisterikohteen piste
Rajoitusaluepiste
Yleiskaavan piste
Yleiskaavan viiva
Opaskartan symboli
Valvonta-asian sijaintipiste
Määräalan sijaintipiste
Siirtoerän piste
Vuokra-alueen sijaintipiste
Kiinteistötunnus
Käyttöoikeusyksikön sijainti
Opaskartan teksti
Asemakaavan piste
Yksikön sijaintipiste
Rakennuskiellon sijaintipiste
Asemakaavan tunnus
Alueyksikön sijaintipiste
Kiinteistökaupan sijainti
Hinta-alueen sijaintipiste
Rakennustunnus
Rakennuksen sijaintipiste
Rakennusluvan sijaintipiste
Rekisterikohteen viiva
Johtokartan piste
Osoitteen sijainti
Nimistökohteen sijainti
Opaskartan viiva
Korkeuskäyrä
Rajaviiva
Siirtoerän viiva
Asemakaavan viiva
Johtokartan viiva
Nimistöviiva
